Product,Lead Magnet #,Resource Type,Title,Description,Estimated Time to Create,Conversion Potential,File Format,Key Features
ACER,1,Practice Test,"Free ACER Practice Test - 20 Questions","Authentic ACER-style questions covering all sections: Reading, Mathematics, Verbal Reasoning, Abstract Reasoning. Includes complete answer key with detailed explanations and marking rubric.",2-3 hours,Very High,PDF,"- 20 questions across all sections
- Detailed answer explanations
- Marking rubric
- Time management tips
- Similar difficulty to real test"
ACER,2,Cheat Sheet,"ACER Test Cheat Sheet: Formulas & Strategies","One-page quick reference guide with essential formulas, key strategies for each section, time management tips, and common question patterns.",1 hour,High,PDF,"- All key math formulas
- Section-by-section strategies
- Question type breakdown
- Time allocation guide
- Test day checklist"
ACER,3,Study Schedule,"8-Week ACER Preparation Schedule","Week-by-week study plan with daily tasks, practice goals, and progress tracking checkboxes. Includes diagnostic baseline and weekly review milestones.",1-2 hours,Medium-High,PDF or Google Sheets,"- Daily study tasks
- Weekly goals and milestones
- Progress tracking checkboxes
- Diagnostic baseline week
- Final week revision plan"
EduTest,1,Practice Test,"Free EduTest Practice Test - 25 Questions","Sample questions covering Quantitative, Verbal, and Written Expression. Complete with answers, explanations, and scoring guide to benchmark current level.",2-3 hours,Very High,PDF,"- 25 questions (Quant, Verbal, Writing)
- Comprehensive answer key
- Scoring guide and percentiles
- Time limits per section
- Writing rubric"
EduTest,2,Writing Guide,"EduTest Writing: Sample Essays & Rubrics","3 sample writing prompts with high-scoring (90th percentile), average (50th percentile), and low-scoring responses. Includes detailed rubric and examiner comments.",2-3 hours,Very High,PDF,"- 3 complete sample essays
- Scoring rubric explained
- Examiner feedback comments
- Common mistakes to avoid
- High-scoring techniques"
EduTest,3,Formula Sheet,"EduTest Mathematics Formula Reference","Comprehensive formula sheet covering all mathematics topics tested: algebra, geometry, measurement, data, and probability. Organized by topic with examples.",1-2 hours,Medium,PDF,"- Formulas by topic
- Quick example for each
- Common mistake warnings
- Mental math shortcuts
- Calculator vs non-calculator tips"
Year 5 NAPLAN,1,Practice Test,"Year 5 NAPLAN Practice Questions - 30 Questions","Mixed questions from all sections: Reading, Writing, Language Conventions, and Numeracy. Mirrors actual NAPLAN format and difficulty level.",2-3 hours,Very High,PDF,"- 30 questions across all sections
- NAPLAN-aligned difficulty
- Complete answer key
- Band level indicators
- Parent guide to results"
Year 5 NAPLAN,2,Writing Prompts,"Year 5 NAPLAN Writing: Prompts & Model Answers","5 narrative and 5 persuasive writing prompts with model responses at different band levels. Shows what makes a strong response.",2 hours,High,PDF,"- 10 writing prompts total
- Model answers (Bands 4-8)
- Marking criteria explained
- Planning templates
- Common errors highlighted"
Year 5 NAPLAN,3,Study Planner,"Year 5 NAPLAN 6-Week Study Planner","Structured preparation plan for the 6 weeks before NAPLAN. Includes daily 20-30 minute activities, weekend practice tests, and confidence-building exercises.",1 hour,Medium-High,PDF or Printable,"- Daily 20-30 min activities
- Weekend practice tests
- Skill focus by week
- Parent tips per week
- Progress tracker"
Year 7 NAPLAN,1,Practice Test,"Year 7 NAPLAN Full Practice Test - 40 Questions","Complete practice test covering Reading, Writing, Language Conventions, and Numeracy at Year 7 level. Includes timing guidelines.",2-3 hours,Very High,PDF,"- 40 questions (all sections)
- Year 7 difficulty level
- Timing guidelines included
- Detailed answer key
- Band score estimator"
